employee_id,review_period,team,manager_id,role_level,review_date,performance_score,potential_rating,9box_classification,competency_communication,competency_initiative,competency_teamwork,competency_execution,competency_problem_solving,peer_feedback_score,promotion_recommended,promotion_granted,calibration_rating,goals_completed_pct,leadership_score,tenure_at_review_months
E1000,2023-H1,Engineering,M29,Manager,2023-01-01,2.87,High,High Potential,4.0,3.75,4.44,3.6,3.45,3.19,False,False,Meets,0.49,3.28,35
E1000,2023-H2,Engineering,M29,IC3,2023-06-30,3.31,Low,High Potential,3.63,2.79,3.38,3.79,3.84,2.38,False,False,Meets,0.86,,35
E1000,2024-H1,Engineering,M29,Director,2024-01-01,3.33,Medium,High Potential,3.41,2.32,4.25,3.59,2.73,3.73,False,False,Meets,0.8,4.36,35
E1000,2024-H2,Engineering,M29,Director,2024-06-29,3.28,Medium,Underperformer,3.51,3.18,3.8,3.11,3.05,3.46,False,False,Meets,0.57,4.62,35
E1001,2023-H1,Sales,M27,IC3,2023-01-01,4.85,Medium,High Potential,3.27,2.81,3.67,3.26,4.09,3.03,True,False,Meets,0.83,,67
E1001,2023-H2,Sales,M27,Manager,2023-06-30,3.58,High,Underperformer,3.16,3.62,3.94,3.54,3.55,2.98,False,False,Needs Improvement,0.92,4.23,67
E1001,2024-H1,Sales,M27,Director,2024-01-01,3.21,Medium,Core Player,3.44,4.21,2.93,3.8,3.22,4.57,True,True,Meets,0.76,4.38,67
E1001,2024-H2,Sales,M27,Director,2024-06-29,2.97,Medium,Consistent Star,2.88,3.38,3.63,3.24,3.88,3.37,False,False,Meets,0.44,3.89,67
E1002,2023-H1,Product,M5,IC2,2023-01-01,2.88,Medium,Core Player,3.32,4.28,4.39,3.21,3.79,3.17,False,False,Meets,0.71,,32
E1002,2023-H2,Product,M5,IC2,2023-06-30,3.08,Medium,Consistent Star,2.64,3.55,3.64,3.16,4.04,3.24,False,False,Needs Improvement,0.65,,32
E1002,2024-H1,Product,M5,IC2,2024-01-01,3.87,Low,Underperformer,2.73,3.95,3.3,3.99,4.14,3.88,False,False,Meets,0.63,,32
E1002,2024-H2,Product,M5,IC3,2024-06-29,2.62,Low,Core Player,2.78,4.05,3.43,3.2,3.43,4.15,False,False,Meets,0.87,,32
E1003,2023-H1,HR,M25,Director,2023-01-01,3.81,Low,Underperformer,3.82,3.59,3.65,3.61,3.5,3.95,False,False,Meets,0.8,2.88,52
E1003,2023-H2,HR,M25,Manager,2023-06-30,3.87,Medium,High Potential,3.62,3.81,3.45,3.91,3.47,3.93,False,False,Meets,0.68,3.23,52
E1003,2024-H1,HR,M25,IC3,2024-01-01,3.92,Medium,Underperformer,3.33,4.6,3.78,3.51,3.91,3.21,False,False,Needs Improvement,0.89,,52
E1003,2024-H2,HR,M25,Director,2024-06-29,4.13,Medium,Consistent Star,4.13,3.28,2.89,3.19,3.36,4.5,False,False,Meets,1.0,3.74,52
E1004,2023-H1,HR,M19,IC3,2023-01-01,3.51,Low,High Potential,3.33,3.91,4.59,4.39,4.07,4.17,False,False,Needs Improvement,0.87,,64
E1004,2023-H2,HR,M19,IC2,2023-06-30,3.47,High,High Potential,3.13,3.49,3.71,2.77,3.42,3.0,False,False,Meets,0.9,,64
E1004,2024-H1,HR,M19,Manager,2024-01-01,3.12,High,Core Player,3.66,3.15,4.3,2.65,3.74,2.73,False,False,Exceeds,0.67,3.64,64
E1004,2024-H2,HR,M19,IC3,2024-06-29,3.68,Medium,High Potential,3.61,3.58,3.18,3.42,3.52,3.62,False,False,Meets,0.74,,64
E1005,2023-H1,Marketing,M29,IC2,2023-01-01,4.01,Low,Core Player,3.55,3.6,3.31,2.97,3.58,4.22,True,True,Meets,0.82,,34
E1005,2023-H2,Marketing,M29,Manager,2023-06-30,2.93,Medium,High Potential,3.91,3.33,3.86,3.32,3.68,3.19,False,False,Needs Improvement,0.68,2.4,34
E1005,2024-H1,Marketing,M29,Director,2024-01-01,3.86,Low,High Potential,3.69,3.71,3.64,3.12,3.98,4.1,False,False,Meets,0.63,3.87,34
E1005,2024-H2,Marketing,M29,IC3,2024-06-29,4.11,Medium,Underperformer,3.26,3.35,3.77,2.74,2.96,2.91,False,False,Needs Improvement,0.48,,34
E1006,2023-H1,Marketing,M25,IC3,2023-01-01,4.26,High,Underperformer,2.51,3.67,3.91,3.35,3.17,3.64,False,False,Meets,0.75,,40
E1006,2023-H2,Marketing,M25,Director,2023-06-30,4.2,Medium,Core Player,2.19,3.04,3.78,3.53,3.88,3.66,False,False,Needs Improvement,0.73,3.29,40
E1006,2024-H1,Marketing,M25,IC2,2024-01-01,5.0,Medium,Consistent Star,4.27,3.75,3.54,3.77,3.91,3.75,False,False,Meets,0.64,,40
E1006,2024-H2,Marketing,M25,Manager,2024-06-29,4.75,Medium,High Potential,3.62,4.51,3.59,3.38,4.19,3.68,False,False,Meets,0.77,2.66,40
E1007,2023-H1,Engineering,M17,IC3,2023-01-01,3.96,High,Underperformer,3.25,3.28,3.25,3.72,2.73,3.37,False,False,Meets,0.9,,27
E1007,2023-H2,Engineering,M17,Manager,2023-06-30,2.63,Medium,Consistent Star,3.59,3.18,3.3,4.33,2.67,3.96,False,False,Meets,0.68,3.13,27
E1007,2024-H1,Engineering,M17,Director,2024-01-01,2.72,Medium,High Potential,3.88,3.4,3.34,3.55,3.41,2.3,False,False,Meets,0.68,4.13,27
E1007,2024-H2,Engineering,M17,IC3,2024-06-29,2.45,Medium,Underperformer,2.96,3.29,3.14,3.49,2.95,3.27,True,False,Meets,0.74,,27
E1008,2023-H1,Engineering,M13,IC2,2023-01-01,3.95,Medium,Consistent Star,4.12,3.37,4.44,3.41,3.91,4.66,False,False,Exceeds,0.77,,33
E1008,2023-H2,Engineering,M13,Manager,2023-06-30,2.54,Medium,Underperformer,3.55,3.19,3.36,4.49,2.89,3.68,False,False,Exceeds,0.62,3.28,33
E1008,2024-H1,Engineering,M13,Director,2024-01-01,4.02,Low,Underperformer,3.66,3.39,3.18,3.66,4.35,2.96,False,False,Exceeds,1.0,4.34,33
E1008,2024-H2,Engineering,M13,IC2,2024-06-29,4.46,Medium,Consistent Star,3.65,4.09,3.0,3.17,3.88,3.68,False,False,Meets,0.73,,33
E1009,2023-H1,Product,M20,Manager,2023-01-01,1.75,High,Underperformer,3.28,2.91,3.75,3.4,3.19,5.0,False,False,Meets,0.91,4.24,37
E1009,2023-H2,Product,M20,Director,2023-06-30,5.0,High,Core Player,3.9,3.11,3.06,3.98,2.47,3.45,False,False,Exceeds,0.42,3.57,37
E1009,2024-H1,Product,M20,IC2,2024-01-01,4.1,Medium,Underperformer,3.64,3.97,4.48,3.43,4.9,3.63,False,False,Exceeds,0.89,,37
E1009,2024-H2,Product,M20,Director,2024-06-29,3.07,Medium,Core Player,4.31,4.02,4.24,3.53,2.87,3.78,False,False,Needs Improvement,0.5,3.26,37
E1010,2023-H1,Marketing,M14,IC2,2023-01-01,3.63,Low,Core Player,4.69,3.66,3.57,3.47,2.83,3.55,True,False,Meets,0.77,,49
E1010,2023-H2,Marketing,M14,Manager,2023-06-30,2.82,High,Core Player,2.91,3.26,3.53,3.27,2.97,3.67,False,False,Meets,0.83,3.58,49
E1010,2024-H1,Marketing,M14,Manager,2024-01-01,3.11,Medium,Consistent Star,3.8,3.4,2.91,4.02,3.68,3.43,False,False,Exceeds,0.51,2.98,49
E1010,2024-H2,Marketing,M14,IC2,2024-06-29,4.91,Medium,Underperformer,2.75,3.37,3.49,3.66,2.75,3.6,False,False,Meets,0.5,,49
E1011,2023-H1,Marketing,M12,IC2,2023-01-01,3.57,Medium,Underperformer,3.17,3.07,3.92,3.38,3.74,3.8,False,False,Exceeds,0.94,,68
E1011,2023-H2,Marketing,M12,Manager,2023-06-30,2.65,Low,High Potential,3.96,3.51,3.31,2.93,3.8,2.95,False,False,Meets,0.83,4.85,68
E1011,2024-H1,Marketing,M12,Director,2024-01-01,4.19,Medium,Underperformer,4.2,3.14,3.88,2.93,3.38,4.54,False,False,Meets,0.66,4.28,68
E1011,2024-H2,Marketing,M12,IC2,2024-06-29,4.21,Low,Core Player,4.04,2.87,3.76,3.42,4.04,2.51,False,False,Exceeds,0.81,,68
E1012,2023-H1,HR,M13,Manager,2023-01-01,3.66,Medium,Consistent Star,2.5,3.06,2.58,3.14,3.77,3.62,False,False,Meets,0.78,2.77,42
E1012,2023-H2,HR,M13,IC2,2023-06-30,4.28,Medium,Consistent Star,3.49,3.52,3.97,3.0,3.61,3.75,False,False,Meets,0.67,,42
E1012,2024-H1,HR,M13,Manager,2024-01-01,3.96,High,Underperformer,3.74,3.45,3.43,3.76,3.89,3.54,False,False,Meets,0.92,3.96,42
E1012,2024-H2,HR,M13,Director,2024-06-29,2.25,High,High Potential,2.8,4.09,3.38,3.58,4.07,3.5,False,False,Exceeds,0.76,2.89,42
E1013,2023-H1,HR,M7,IC3,2023-01-01,3.76,Medium,Underperformer,3.79,3.21,3.04,4.81,3.45,3.09,False,False,Meets,0.86,,80
E1013,2023-H2,HR,M7,Manager,2023-06-30,3.46,Medium,Consistent Star,2.96,3.74,3.07,4.29,3.75,3.33,False,False,Needs Improvement,0.77,4.13,80
E1013,2024-H1,HR,M7,IC3,2024-01-01,3.63,Medium,Underperformer,4.56,4.07,3.74,3.03,3.43,3.79,False,False,Meets,0.63,,80
E1013,2024-H2,HR,M7,Manager,2024-06-29,4.41,Medium,Underperformer,3.01,3.18,3.22,3.87,3.1,2.42,False,False,Needs Improvement,0.91,3.19,80
E1014,2023-H1,Customer Success,M4,Manager,2023-01-01,2.75,Medium,Consistent Star,3.12,4.36,3.17,3.44,3.28,2.76,False,False,Meets,0.64,2.59,78
E1014,2023-H2,Customer Success,M4,Manager,2023-06-30,4.17,Medium,Underperformer,3.55,4.74,3.15,3.07,4.27,4.13,False,False,Meets,0.81,2.72,78
E1014,2024-H1,Customer Success,M4,Manager,2024-01-01,4.72,Medium,Underperformer,3.46,3.28,4.07,3.49,2.92,3.52,False,False,Exceeds,0.63,1.39,78
E1014,2024-H2,Customer Success,M4,Director,2024-06-29,2.88,Medium,Underperformer,3.24,2.92,3.79,3.11,3.74,2.76,False,False,Needs Improvement,0.89,2.61,78
E1015,2023-H1,Customer Success,M7,IC2,2023-01-01,1.86,Medium,High Potential,4.12,3.07,4.38,3.78,3.9,4.13,False,False,Meets,0.77,,55
E1015,2023-H2,Customer Success,M7,Manager,2023-06-30,3.59,Medium,Consistent Star,4.14,3.56,3.14,3.79,2.44,4.29,False,False,Meets,0.95,4.34,55
E1015,2024-H1,Customer Success,M7,Director,2024-01-01,4.31,Low,Core Player,3.46,3.45,2.89,4.37,3.26,3.7,False,False,Meets,0.79,2.56,55
E1015,2024-H2,Customer Success,M7,Manager,2024-06-29,2.28,Medium,Consistent Star,3.5,3.27,3.46,4.03,3.61,3.96,False,False,Meets,0.82,3.28,55
E1016,2023-H1,Sales,M19,Director,2023-01-01,2.8,Medium,Consistent Star,3.63,3.54,3.96,3.42,3.35,3.36,False,False,Meets,0.61,4.51,61
E1016,2023-H2,Sales,M19,IC2,2023-06-30,4.3,High,Underperformer,2.89,3.9,2.58,3.99,3.15,3.72,False,False,Exceeds,0.46,,61
E1016,2024-H1,Sales,M19,Manager,2024-01-01,2.66,Low,High Potential,3.73,3.15,3.08,4.2,4.61,4.06,False,False,Exceeds,0.59,4.73,61
E1016,2024-H2,Sales,M19,Director,2024-06-29,2.41,Low,High Potential,3.35,3.53,4.46,3.96,3.27,2.93,False,False,Needs Improvement,0.9,3.13,61
E1017,2023-H1,Finance,M18,Manager,2023-01-01,3.65,Medium,High Potential,2.82,3.78,3.74,2.88,4.02,3.83,False,False,Meets,0.86,3.23,71
E1017,2023-H2,Finance,M18,Manager,2023-06-30,3.63,Medium,Consistent Star,3.53,3.43,3.59,4.13,4.04,2.79,False,False,Meets,0.9,4.33,71
E1017,2024-H1,Finance,M18,Director,2024-01-01,3.39,Medium,Underperformer,3.75,3.75,3.08,3.31,3.88,3.2,False,False,Meets,0.9,4.41,71
E1017,2024-H2,Finance,M18,Director,2024-06-29,4.3,Medium,Underperformer,4.49,3.45,3.59,3.66,3.47,3.83,False,False,Needs Improvement,0.49,3.64,71
E1018,2023-H1,Finance,M10,IC2,2023-01-01,2.54,Low,Core Player,3.02,3.87,3.4,3.85,3.39,4.16,False,False,Meets,0.71,,80
E1018,2023-H2,Finance,M10,IC2,2023-06-30,2.13,Medium,Underperformer,3.61,2.42,2.77,3.06,3.0,3.17,False,False,Meets,0.59,,80
E1018,2024-H1,Finance,M10,IC2,2024-01-01,2.52,Medium,High Potential,4.27,3.16,2.38,3.32,2.94,2.97,False,False,Meets,0.86,,80
E1018,2024-H2,Finance,M10,IC3,2024-06-29,3.19,Medium,Underperformer,2.92,3.72,4.07,3.77,2.27,2.83,False,False,Meets,0.76,,80
E1019,2023-H1,Product,M6,IC2,2023-01-01,3.33,Medium,Underperformer,3.34,3.01,2.8,4.5,3.51,3.89,False,False,Needs Improvement,0.75,,23
E1019,2023-H2,Product,M6,IC3,2023-06-30,3.53,Medium,Underperformer,3.47,2.94,2.74,3.69,3.59,4.06,False,False,Needs Improvement,0.86,,23
E1019,2024-H1,Product,M6,IC3,2024-01-01,2.93,Medium,High Potential,4.07,3.88,3.85,4.62,4.52,3.91,False,False,Needs Improvement,0.83,,23
E1019,2024-H2,Product,M6,Director,2024-06-29,4.26,Medium,Core Player,3.21,3.22,3.84,3.07,3.8,3.59,True,True,Meets,0.62,3.52,23
E1020,2023-H1,Customer Success,M8,Director,2023-01-01,4.41,Medium,Underperformer,3.54,3.54,3.66,3.73,3.33,3.71,False,False,Meets,0.59,2.94,59
E1020,2023-H2,Customer Success,M8,IC3,2023-06-30,3.03,Medium,Consistent Star,3.73,3.58,3.43,3.85,3.69,3.33,False,False,Needs Improvement,0.59,,59
E1020,2024-H1,Customer Success,M8,Director,2024-01-01,2.93,Medium,Consistent Star,2.77,3.57,3.07,3.25,3.44,4.13,True,True,Meets,0.89,3.46,59
E1020,2024-H2,Customer Success,M8,IC2,2024-06-29,4.39,High,Consistent Star,2.49,4.44,3.85,3.55,3.05,3.24,False,False,Needs Improvement,0.84,,59
E1021,2023-H1,Sales,M23,IC2,2023-01-01,3.94,Medium,Consistent Star,3.83,3.14,3.04,3.6,3.88,3.5,False,False,Needs Improvement,0.97,,23
E1021,2023-H2,Sales,M23,IC2,2023-06-30,3.52,Medium,Underperformer,3.5,3.84,4.11,2.83,2.94,3.31,False,False,Meets,1.0,,23
E1021,2024-H1,Sales,M23,IC3,2024-01-01,3.32,Medium,Underperformer,3.44,3.81,3.99,3.58,4.08,2.78,False,False,Exceeds,0.64,,23
E1021,2024-H2,Sales,M23,Manager,2024-06-29,4.31,High,Consistent Star,3.51,2.87,2.84,3.09,3.5,3.78,False,False,Meets,0.7,3.77,23
E1022,2023-H1,Product,M5,IC2,2023-01-01,3.19,High,Underperformer,4.11,4.78,3.3,3.74,3.7,3.58,False,False,Exceeds,0.85,,60
E1022,2023-H2,Product,M5,Manager,2023-06-30,3.84,Medium,Underperformer,3.26,4.16,3.6,3.31,4.72,3.43,False,False,Meets,0.79,3.62,60
E1022,2024-H1,Product,M5,Manager,2024-01-01,3.41,Medium,Underperformer,3.72,3.08,3.8,2.62,2.85,4.6,False,False,Meets,0.56,2.13,60
E1022,2024-H2,Product,M5,Manager,2024-06-29,2.64,Medium,Consistent Star,4.37,2.6,3.02,2.77,3.36,3.24,False,False,Exceeds,0.68,4.8,60
E1023,2023-H1,Sales,M1,Manager,2023-01-01,2.66,Medium,Core Player,3.45,3.67,3.01,3.74,3.3,3.72,False,False,Meets,0.73,2.06,33
E1023,2023-H2,Sales,M1,Director,2023-06-30,4.41,High,High Potential,4.54,3.41,3.05,4.25,4.45,3.4,False,False,Meets,0.72,3.44,33
E1023,2024-H1,Sales,M1,IC3,2024-01-01,2.33,Medium,High Potential,3.35,4.36,3.42,2.98,3.75,3.1,False,False,Meets,0.74,,33
E1023,2024-H2,Sales,M1,IC3,2024-06-29,2.61,Medium,Underperformer,2.98,3.87,3.56,3.11,3.56,3.14,False,False,Meets,0.63,,33
E1024,2023-H1,Engineering,M19,Director,2023-01-01,4.31,Medium,Consistent Star,3.89,3.49,3.57,3.5,3.74,3.02,False,False,Meets,0.88,3.75,46
E1024,2023-H2,Engineering,M19,Manager,2023-06-30,3.32,Medium,High Potential,3.26,3.92,3.42,3.15,3.31,3.96,False,False,Meets,0.51,3.25,46
E1024,2024-H1,Engineering,M19,IC3,2024-01-01,4.25,Medium,Underperformer,3.42,3.64,4.04,3.95,3.28,3.42,False,False,Meets,0.89,,46
E1024,2024-H2,Engineering,M19,IC2,2024-06-29,4.16,High,Underperformer,3.46,3.47,3.63,4.18,4.03,3.92,False,False,Needs Improvement,0.59,,46
E1025,2023-H1,Engineering,M22,IC3,2023-01-01,3.31,High,Core Player,3.39,4.21,3.38,4.13,3.21,3.21,False,False,Meets,0.82,,30
E1025,2023-H2,Engineering,M22,Director,2023-06-30,4.6,Medium,Consistent Star,3.39,2.22,2.72,3.65,2.76,2.98,False,False,Meets,0.75,1.79,30
E1025,2024-H1,Engineering,M22,IC3,2024-01-01,3.23,Medium,Consistent Star,2.92,2.75,3.1,2.97,3.73,4.22,False,False,Needs Improvement,0.7,,30
E1025,2024-H2,Engineering,M22,IC2,2024-06-29,3.08,Medium,Core Player,3.29,2.95,2.86,2.68,2.84,4.48,False,False,Meets,0.65,,30
E1026,2023-H1,Finance,M11,IC2,2023-01-01,1.44,Medium,Core Player,3.21,2.7,3.53,3.48,3.53,3.48,False,False,Meets,0.69,,39
E1026,2023-H2,Finance,M11,IC3,2023-06-30,2.48,High,Consistent Star,3.46,4.01,4.41,3.38,3.44,3.8,False,False,Meets,0.97,,39
E1026,2024-H1,Finance,M11,IC3,2024-01-01,3.16,Medium,High Potential,3.85,3.09,3.66,3.99,2.85,3.18,False,False,Meets,0.89,,39
E1026,2024-H2,Finance,M11,Manager,2024-06-29,3.93,Medium,Underperformer,4.02,3.92,3.33,4.6,3.57,1.67,False,False,Needs Improvement,0.71,3.17,39
E1027,2023-H1,Marketing,M18,IC3,2023-01-01,4.06,Medium,High Potential,3.27,4.05,3.78,3.0,3.43,3.03,False,False,Needs Improvement,0.78,,41
E1027,2023-H2,Marketing,M18,Director,2023-06-30,2.95,Medium,Consistent Star,3.54,3.36,3.42,4.53,3.32,2.34,False,False,Meets,0.9,4.21,41
E1027,2024-H1,Marketing,M18,IC3,2024-01-01,2.11,Medium,Consistent Star,3.15,3.72,3.76,3.5,3.51,2.94,False,False,Meets,0.39,,41
E1027,2024-H2,Marketing,M18,IC3,2024-06-29,4.93,Medium,Underperformer,3.02,3.59,3.42,3.95,3.56,3.59,True,True,Meets,0.35,,41
E1028,2023-H1,Finance,M20,IC2,2023-01-01,2.92,Medium,Consistent Star,3.87,3.83,3.02,2.71,3.56,1.76,False,False,Needs Improvement,0.58,,76
E1028,2023-H2,Finance,M20,Director,2023-06-30,4.73,Medium,Underperformer,4.22,3.74,3.65,2.52,3.13,3.32,False,False,Exceeds,0.64,3.25,76
E1028,2024-H1,Finance,M20,Director,2024-01-01,4.41,High,Core Player,3.23,3.33,3.87,2.79,3.08,3.06,False,False,Meets,0.76,3.26,76
E1028,2024-H2,Finance,M20,Manager,2024-06-29,3.28,Medium,Core Player,3.17,2.96,3.8,3.33,3.81,2.83,False,False,Meets,0.65,3.35,76
E1029,2023-H1,HR,M9,Manager,2023-01-01,3.41,High,High Potential,3.88,3.28,3.87,3.69,3.45,2.93,False,False,Meets,0.86,2.85,61
E1029,2023-H2,HR,M9,Director,2023-06-30,3.49,Medium,Consistent Star,3.47,3.4,3.31,3.09,2.69,4.34,False,False,Needs Improvement,0.68,3.41,61
E1029,2024-H1,HR,M9,Director,2024-01-01,3.41,Low,Underperformer,4.05,4.47,3.58,3.42,2.94,2.63,False,False,Exceeds,0.48,2.94,61
E1029,2024-H2,HR,M9,IC3,2024-06-29,2.04,Medium,Consistent Star,4.04,3.71,3.37,4.05,2.96,3.01,False,False,Meets,0.46,,61
E1030,2023-H1,Marketing,M7,Manager,2023-01-01,4.04,Medium,High Potential,3.09,3.51,4.0,4.19,3.49,3.73,False,False,Meets,0.61,4.68,64
E1030,2023-H2,Marketing,M7,IC3,2023-06-30,3.38,Medium,Underperformer,3.54,3.3,4.1,3.6,3.88,3.71,False,False,Meets,0.72,,64
E1030,2024-H1,Marketing,M7,Director,2024-01-01,4.15,Medium,High Potential,3.67,3.02,3.01,3.57,3.95,4.48,False,False,Exceeds,0.48,3.52,64
E1030,2024-H2,Marketing,M7,Director,2024-06-29,3.84,Medium,High Potential,3.65,4.0,3.83,3.01,2.99,3.69,False,False,Exceeds,0.9,3.6,64
E1031,2023-H1,Customer Success,M21,Manager,2023-01-01,2.4,Medium,Underperformer,2.98,3.85,3.33,3.56,4.03,2.78,False,False,Meets,0.69,3.13,71
E1031,2023-H2,Customer Success,M21,Manager,2023-06-30,3.75,Medium,Core Player,3.89,2.76,3.5,3.93,2.57,3.46,False,False,Meets,0.57,3.05,71
E1031,2024-H1,Customer Success,M21,Director,2024-01-01,1.75,High,Core Player,4.2,3.32,3.1,3.66,2.98,2.82,False,False,Meets,0.98,4.77,71
E1031,2024-H2,Customer Success,M21,Director,2024-06-29,3.09,Medium,Consistent Star,4.03,3.68,2.79,3.04,4.28,2.64,False,False,Meets,1.0,3.1,71
E1032,2023-H1,Marketing,M12,IC2,2023-01-01,4.61,Medium,High Potential,3.35,3.9,4.2,4.19,3.21,2.99,False,False,Meets,0.74,,56
E1032,2023-H2,Marketing,M12,Manager,2023-06-30,2.59,High,High Potential,3.62,3.09,4.04,3.21,2.63,4.34,False,False,Meets,0.78,3.52,56
E1032,2024-H1,Marketing,M12,Manager,2024-01-01,4.27,High,Consistent Star,3.94,3.12,3.28,2.94,2.77,3.85,False,False,Meets,0.81,4.03,56
E1032,2024-H2,Marketing,M12,Director,2024-06-29,4.4,Medium,High Potential,3.89,3.93,2.46,3.35,3.98,2.8,False,False,Meets,0.76,3.86,56
E1033,2023-H1,Finance,M28,Director,2023-01-01,3.81,Medium,Consistent Star,3.68,3.8,3.59,2.77,3.75,3.67,False,False,Meets,0.53,4.47,70
E1033,2023-H2,Finance,M28,Director,2023-06-30,3.87,High,Underperformer,2.81,3.09,3.22,3.22,3.65,2.91,False,False,Needs Improvement,0.92,4.23,70
E1033,2024-H1,Finance,M28,Director,2024-01-01,3.93,Medium,Underperformer,3.52,3.97,3.36,3.14,4.1,3.69,False,False,Needs Improvement,0.65,3.21,70
E1033,2024-H2,Finance,M28,Manager,2024-06-29,2.98,Low,Consistent Star,4.51,3.5,3.58,3.86,2.89,4.16,False,False,Meets,0.66,4.78,70
E1034,2023-H1,Marketing,M15,IC2,2023-01-01,3.28,High,Consistent Star,4.02,2.25,2.91,3.35,2.48,3.86,False,False,Needs Improvement,0.8,,78
E1034,2023-H2,Marketing,M15,Manager,2023-06-30,2.81,Medium,Underperformer,3.49,3.9,2.45,2.86,3.33,3.51,False,False,Needs Improvement,0.74,4.12,78
E1034,2024-H1,Marketing,M15,Manager,2024-01-01,3.83,Medium,Consistent Star,3.85,2.81,3.57,3.35,4.23,3.6,False,False,Meets,0.65,4.1,78
E1034,2024-H2,Marketing,M15,IC2,2024-06-29,3.89,Medium,Core Player,3.09,3.33,3.33,4.11,3.6,3.94,False,False,Exceeds,0.68,,78
E1035,2023-H1,Finance,M28,Director,2023-01-01,3.73,Medium,Core Player,4.15,3.32,3.56,2.82,3.12,3.3,False,False,Meets,0.59,4.43,75
E1035,2023-H2,Finance,M28,Director,2023-06-30,2.91,Medium,High Potential,3.89,3.59,3.52,4.24,2.37,3.38,False,False,Meets,0.59,2.13,75
E1035,2024-H1,Finance,M28,Manager,2024-01-01,2.66,Medium,High Potential,3.51,3.14,3.95,3.39,3.34,3.31,False,False,Meets,0.74,3.21,75
E1035,2024-H2,Finance,M28,Director,2024-06-29,2.9,Medium,Consistent Star,3.99,3.19,3.31,3.71,3.66,2.96,False,False,Meets,0.86,3.88,75
E1036,2023-H1,Marketing,M13,Manager,2023-01-01,3.62,High,Consistent Star,3.28,3.3,3.4,2.88,3.48,4.04,False,False,Exceeds,0.88,3.23,71
E1036,2023-H2,Marketing,M13,Manager,2023-06-30,4.24,Low,Underperformer,4.45,3.34,3.85,2.37,2.87,3.55,False,False,Needs Improvement,0.6,4.93,71
E1036,2024-H1,Marketing,M13,IC2,2024-01-01,3.92,Medium,Underperformer,3.98,3.49,3.0,3.24,3.63,3.12,False,False,Meets,0.85,,71
E1036,2024-H2,Marketing,M13,IC3,2024-06-29,4.0,Medium,Consistent Star,3.5,2.59,4.36,3.39,4.85,3.89,False,False,Meets,0.72,,71
